Name,X,Y,field_4,field_5,field_6,Head,nodenumber,layer,row,col,child_loca,top,bottom,delr,delc
MRBH001,762302.000000000116415,962752.000000000000000,A,315.000000000000000,"30",349.379999999999995,"33327",2,21,25,"414",380.00000000,-170.00000000,160.00000000,160.00000000
FDG-W002,761569.000000000000000,962477.000000000000000,A,304.000000000000000,"30",346.870000000000005,"8794",0,21,25,"333",460.00000000,390.00000000,160.00000000,160.00000000
FDG-W002,761569.000000000000000,962477.000000000000000,A,304.000000000000000,"30",346.870000000000005,"21056",1,21,25,"333",390.00000000,380.00000000,160.00000000,160.00000000
FDG-W002,761569.000000000000000,962477.000000000000000,A,304.000000000000000,"30",346.870000000000005,"33318",2,21,25,"333",380.00000000,-170.00000000,160.00000000,160.00000000
MRBH002,752761.999999999883585,968463.000000000000000,A,302.000000000000000,"30",349.160000000000025,"3528",0,17,18,"114",460.00000000,390.00000000,160.00000000,160.00000000
MRBH002,752761.999999999883585,968463.000000000000000,A,302.000000000000000,"30",349.160000000000025,"15790",1,17,18,"114",390.00000000,380.00000000,160.00000000,160.00000000
MRBH002,752761.999999999883585,968463.000000000000000,A,302.000000000000000,"30",349.160000000000025,"28052",2,17,18,"114",380.00000000,-170.00000000,160.00000000,160.00000000
BTG-W003,752703.000000000000000,968525.000000000000000,A,303.000000000000000,"30",349.180000000000007,"3528",0,17,18,"114",460.00000000,390.00000000,160.00000000,160.00000000
BTG-W003,752703.000000000000000,968525.000000000000000,A,303.000000000000000,"30",349.180000000000007,"15790",1,17,18,"114",390.00000000,380.00000000,160.00000000,160.00000000
BTG-W003,752703.000000000000000,968525.000000000000000,A,303.000000000000000,"30",349.180000000000007,"28052",2,17,18,"114",380.00000000,-170.00000000,160.00000000,160.00000000
MSS-W001,748181.000000000000000,972079.000000000000000,A,333.000000000000000,"30",373.689999999999998,"2800",0,14,14,"234",460.00000000,390.00000000,160.00000000,160.00000000
MSS-W001,748181.000000000000000,972079.000000000000000,A,333.000000000000000,"30",373.689999999999998,"15062",1,14,14,"234",390.00000000,380.00000000,160.00000000,160.00000000
MSS-W001,748181.000000000000000,972079.000000000000000,A,333.000000000000000,"30",373.689999999999998,"27324",2,14,14,"234",380.00000000,-170.00000000,160.00000000,160.00000000
BNJ-W002,748013.000000000000000,975647.000000000000000,A,359.000000000000000,"30",401.529999999999973,"2000",0,11,14,"411",460.00000000,390.00000000,160.00000000,160.00000000
BNJ-W002,748013.000000000000000,975647.000000000000000,A,359.000000000000000,"30",401.529999999999973,"14262",1,11,14,"411",390.00000000,380.00000000,160.00000000,160.00000000
BNJ-W002,748013.000000000000000,975647.000000000000000,A,359.000000000000000,"30",401.529999999999973,"26524",2,11,14,"411",380.00000000,-170.00000000,160.00000000,160.00000000
MRBH009,756815.631999999983236,964405.572999999858439,A,323.548999999999978,"30",337.829000000000008,"7375",0,20,21,"14411",460.00000000,390.00000000,40.00000000,40.00000000
MRBH009,756815.631999999983236,964405.572999999858439,A,323.548999999999978,"30",337.829000000000008,"19637",1,20,21,"14411",390.00000000,380.00000000,40.00000000,40.00000000
MRBH009,756815.631999999983236,964405.572999999858439,A,323.548999999999978,"30",337.829000000000008,"31899",2,20,21,"14411",380.00000000,-170.00000000,40.00000000,40.00000000
MRBH006,756804.694000000017695,964411.929000000003725,A,323.915000000000020,"30",363.725000000000023,"7375",0,20,21,"14411",460.00000000,390.00000000,40.00000000,40.00000000
MRBH006,756804.694000000017695,964411.929000000003725,A,323.915000000000020,"30",363.725000000000023,"19637",1,20,21,"14411",390.00000000,380.00000000,40.00000000,40.00000000
MRBH006,756804.694000000017695,964411.929000000003725,A,323.915000000000020,"30",363.725000000000023,"31899",2,20,21,"14411",380.00000000,-170.00000000,40.00000000,40.00000000
MRBH007,756736.890000000013970,964702.422999999951571,A,331.269999999999982,"30",352.740000000000009,"7237",0,20,21,"12323",460.00000000,390.00000000,40.00000000,40.00000000
MRBH007,756736.890000000013970,964702.422999999951571,A,331.269999999999982,"30",352.740000000000009,"19499",1,20,21,"12323",390.00000000,380.00000000,40.00000000,40.00000000
MRBH007,756736.890000000013970,964702.422999999951571,A,331.269999999999982,"30",352.740000000000009,"31761",2,20,21,"12323",380.00000000,-170.00000000,40.00000000,40.00000000
MRBH010,756628.520000000018626,964155.369999999995343,A,319.000000000000000,"30",366.110000000000014,"7721",0,20,21,"32133",460.00000000,390.00000000,40.00000000,40.00000000
MRBH010,756628.520000000018626,964155.369999999995343,A,319.000000000000000,"30",366.110000000000014,"19983",1,20,21,"32133",390.00000000,380.00000000,40.00000000,40.00000000
MRBH010,756628.520000000018626,964155.369999999995343,A,319.000000000000000,"30",366.110000000000014,"32245",2,20,21,"32133",380.00000000,-170.00000000,40.00000000,40.00000000
